Vale,uale,ualeo,V2,u0050,,VmG
Echio,echio,echios,N2,e0049,f,NcB
kalendas,kalendas,kalendae,N1,k0002,f,NcA
cinaedus,cinaedus,cinaedus,N2,c1631,m,NcB
cinaedus,cinaedus,cinaedus,N2/1,c1631,*,Af-
lingis,lingis,lingo,V3,l0821,,VmH
accepit,accepit,accipio,V5,a0275,,VmM
Secundus,secundus,secundus,N2/1,s9990,*,Ao-
Secundus,secundus,secor,V3,s1348,,VmH
Secundus,secundus,sequor/-o,V3,s1348,,VmH
et,et,et,I,e0997,,X--
curia,curia,curia,N1,c4683,f,NcA
In,in,eo,VA,e0655,,VmN
In,in,in,I,i0702,,X--
S,s,s,I,s0001,,X--
retrogradum,retrogradum,retrogradus,N2/1,r0611,*,Af-
retrogradum,retrogradum,retrogras,N3A,r0611,*,Af-
asses,asses,as/assis,N3B,a3009,m,NcC
asses,asses,asso,V1,a3183,,VmF
asses,asses,axis,N3B,a3654,m,NcC
Idibus,idibus,idus,N4,i9914,f,NcD
mystagogus,mystagogus,mystagogus/-os,N2,m1930,m,NcB
docens,docens,doceo,V2,d2067,,VmG
senatus,senatus,senatus,N4,s1202,m,NcD
Ex,ex,ex,I,e1167,,X--
consulto,consulto,consulo,V3,c3652,,VmH
consulto,consulto,consulo,V3,c3652,,VmH
consulto,consulto,consulto/-or,V1,c3656,,VmF
consulto,consulto,consultus,N2,c9966,m,NcB
consulto,consulto,consultum,N2,c9966,n,NcB
mansi,mansi,mando/-or,V3,m0261,,VmH
mansi,mansi,maneo,V2,m0273,,VmG
mansi,mansi,maneo,V2,m0273,,VmG
Sextus,sextus,sextus,N2/1,s1541,*,Ao-
matri,matri,mater,N3B,m0448,f,NcC
assibus,assibus,as/assis,N3B,a3009,m,NcC
assibus,assibus,axis,N3B,a3654,m,NcC
uncus,uncus,uncus,N2,u1026,m,NcB
uncus,uncus,uncus,N2/1,u1026,*,Af-
Faustus,faustus,faustus,N2/1,f0287,*,Af-
Nothus,nothus,nothus,N2/1,n0545,*,Af-
Tertio,tertio,tertius,N2/1,t0413,*,Ao-
Tertio,tertio,tertio,V1,t0410,,VmF
Tertio,tertio,tertius,N2/1,t0413,*,Ao-
Cosmus,cosmus,cosmos/-us,N2,c4185,m,NcB
suae,suae,suus/-os,PR,s3894,*,Ps-
genius,genius,genius,N2,g0201,m,NcB
salutem,salutem,salus,N3B,s0233,f,NcC
salutem,salutem,saluto,V1,s0245,,VmF
redire,redire,redeo,VA,r1080,,VmN
minus,minus,minor,N3A,m1049,*,Af-
minus,minus,minus,N2/1,m1060,*,Af-
quo,quo,quis,PR,q0198,,P4-
quo,quo,qui,PR,q9410,,P7-
plurimam,plurimam,plurimus,N2/1,p2395,*,Au-
Omnes,omnes,omnis,N3A,o0723,*,Au-
amor,amor,amor,N3B,a1716,m,NcC
amor,amor,amo,V1,a1705,,VmF
Hic,hic,hic,PR,h0360,,Py-
Mammium,mammium,mammium,N2,m0228,n,NcB
rogamus,rogamus,rogo,V1,r1472,,VmF
Anicetum,anicetum,anicetus,N2/1,a2020,*,Af-
trans,trans,trans,I,t0969,,X--
Noster,noster,noster,PR,n0569,*,Ps-
quid,quid,quis,PR,q0198,,P4-
Quod,quod,qui,PR,q9410,,P7-
quas,quas,qui,PR,q9410,,P7-
quae,quae,quis,PR,q0198,,P4-
quae,quae,qui,PR,q9410,,P7-
quis,quis,quis,PR,q0198,,P4-
quis,quis,qui,PR,q9410,,P7-
quis,quis,queo,VA,q0178,,VmN
Rum,rum,rhus,N4,r0694,2,NcD
dem,dem,do,V1,d2066,,VmF
que,que,q,I,q0001,,X--
les,les,leo,V2,l0550,,VmG
Con,con,cum,I,c4579,,X--
lis,lis,lis,N3B,l0895,f,NcC
Luci,luci,lux,N3B,l1250,f,NcC
Luci,luci,lucius,N2,l1100,m,NcB
Luci,luci,lucus,N2,l1140,m,NcB
Luci,luci,lux,N3B,l1250,f,NcC
votum,uotum,uoueo,V2,u1227,,VmG
votum,uotum,uoueo,V2,u1227,,VmG
votum,uotum,uotum/-us,N2,u9882,1,NcB
Oceanus,oceanus,oceanus,N2,o9727,m,NcB
centonem,centonem,cento,N3B,c1150,m,NcC
Centurio,centurio,centurio,N3B,c1171,m,NcC
Centurio,centurio,centurio,V1,c1169,,VmF
habet,habet,habeo,V2,h0004,,VmG
non,non,non,I,n9508,,X--
redibis,redibis,redeo,VA,r1080,,VmN
Colono,colono,colonus,N2,c2497,m,NcB
est,est,sum,VA,s3436,,VaN
est,est,e'do,VA,e0094,,VmN
Tomi,tomi,tomus,N2,t0793,m,NcB
morieris,morieris,morior/-io,V5,m1411,,VmM
Paris,paris,par/-is,N3A,p0286,*,Af-
Paris,paris,pario,V5,p0411,,VmM
Paris,paris,parrus,N2,p0288,m,NcB
Augustas,augustas,augusto,V1,a3491,,VmF
Augustas,augustas,augustus,N2/1,a3492,*,Af-
Kalendas,kalendas,kalendae,N1,k0002,f,NcA
Nonas,nonas,nonus,N2/1,n0145,*,Ao-
Nonas,nonas,nona,N1,n0177,f,NcA
tres,tres,tres/-is,N3A,t1158,*,An-
Qui,qui,queo,VA,q0178,,VmN
Qui,qui,quis,PR,q0198,,P4-
Qui,qui,qui,PR,q9410,,P7-
tutari,tutari,tutor/-o,V1,t1843,,VmF
nescit,nescit,nescio,V4,n0249,,VmL
vivere,uiuere,uiuo,V3,u0913,,VmH
Minimum,minimum,minimus,N2/1,m1031,*,Af-
malum,malum,malis,N3B,m0192,f,NcC
malum,malum,malus,N2/1,m0216,*,Af-
malum,malum,ma'lum,N2,m0216,n,NcB
malum,malum,malus,N2,m0218,m,NcB
malum,malum,ma"lum,N2,m0218,n,NcB
malum,malum,malus,N2,m0219,f,NcB
fit,fit,fio,VA,f0557,,VmN
contemnendo,contemnendo,contemno,V3,c3690,,VmH
contemnendo,contemnendo,contemno,V3,c3690,,VmH
Anicete,anicete,anicetus,N2/1,a2020,*,Af-
vale,uale,ualeo,V2,u0050,,VmG
Maior,maior,maior,N3A,m0139,*,Af-
cubicularius,cubicularius,cubicularius,N2/1,c4483,*,Af-
cubicularius,cubicularius,cubicularis,N3A,c7325,*,Af-
cubicularius,cubicularius,cubicularius,N2/1,c4483,*,Af-
cubicularius,cubicularius,cubicularius,N2,c7326,m,NcB
Apelles,apelles,apello,V3,a2317,,VmH
Dextro,dextro,dexter,N2/1,d0000,*,Af-
cum,cum,cum,I,c4579,,X--
cum,cum,cum,I,c4584,,X--
pranderunt,pranderunt,prandeo,V2,p3461,,VmG
iucundissime,iucundissime,iucundus,N2/1,i2989,*,Af-
hic,hic,hic,PR,h0360,,Py-
future,future,sum,VA,s3436,,VaN
Mortuus,mortuus,morior/-io,V5,m1411,,VmM
Sacomata,sacomata,sacoma,N3B,s0049,n,NcC
Semis,semis,semis,N3B,s1133,m,NcC
Semis,semis,semus,N2/1,s8195,*,Af-
mille,mille,mille,N,m0992,,AnP
mille,mille,mille,N,m0992,,NnP
mille,mille,millus,N2,m0663,m,NcB
pedica,pedica,paedico,V1,p0041,,VmF
pedica,pedica,pedica,N1,p0711,f,NcA
pedica,pedica,pedicus,N2/1,p9708,*,Af-
comatus,comatus,como,V1,c2758,,VmF
mita,mita,mitto,V3,m1143,,VmH
Quam,quam,qui,PR,q9410,,P7-
vis,uis,uis,N3B,u0804,,NcC
vis,uis,uolo,VA,u1167,,VmN
atque,atque,atque,I,a3301,,X--
atque,atque,ad,I,a0479,,X--
atque,atque,at,I,a0547,,X--
Pastores,pastores,pastor,N3B,p0534,m,NcC
Caste,caste,castus,N2/1,c0798,*,Af-
erga,erga,erga,I,e0866,,X--
Florus,florus,florus,N2/1,f0702,*,Af-
Quaesivi,quaesiui,quaero,V3,q0096,,VmH
Quaesivi,quaesiui,quaeso,V3,q0099,,VmH
facias,facias,facia,N1,f0043,f,NcA
facias,facias,facio,V5,f0048,,VmM
omnes,omnes,omnis,N3A,o0723,*,Au-
serva,serua,seruo,V1,s1428,,VmF
serva,serua,serua,N1,s1432,f,NcA
serva,serua,seruus,N2/1,s1432,*,Af-
tuas,tuas,tuus/-os,PR,t1849,*,Ps-
quem,quem,quis,PR,q0198,,P4-
quem,quem,qui,PR,q9410,,P7-
noli,noli,nolo,VA,n0489,,VmN
iunge,iunge,iungo,V3,i3044,,VmH
iunge,iunge,iynx,N3B,i3115,f,NcC
nobis,nobis,nos,PR,n0773,,Pq-
servabo,seruabo,seruo,V1,s1428,,VmF
neque,neque,neque,I,n9758,,X--
neque,neque,ne,I,n0130,,X--
neque,neque,ne,I,n0131,,X--
neque,neque,neo,V2,n0211,,VmG
luminum,luminum,lumen,N3B,l1176,n,NcC
ovas,ouas,ouo,V1,o1167,,VmF
Ater,ater,ater,N2/1,a6288,*,Af-
Caves,caues,caueo,V2,c0949,,VmG
Caves,caues,cauo,V1,c0980,,VmF
sint,sint,sum,VA,s3436,,VaN
