Apriculus,apriculus,apriculus,N2,a2554,m,NcB
pondo,pondo,pondo,I,p2558,,X--
Alica,alica,alica,N1,a1350,f,NcA
Alica,alica,alicum,N2,a1350,n,NcB
Assibus,assibus,as/assis,N3B,a3009,m,NcC
Assibus,assibus,axis,N3B,a3654,m,NcC
calos,calos,calos,I,c0279,,X--
hoc,hoc,hic,PR,h0360,,Py-
Iulium,iulium,iulius,N2/1,i3221,*,Af-
Kalendas,kalendas,kalendae,N1,k0002,f,NcA
Victor,uictor,uictor,N3B,u0614,m,NcC
Reus,reus,reus,N2,r0643,m,NcB
Felix,felix,felix,N3A,f0327,*,Af-
Felix,felix,filix,N3B,f0539,f,NcC
Iusto,iusto,iusto,V1,i3086,,VmF
Iusto,iusto,iustus,N2/1,i3087,*,Af-
Iusto,iusto,iustum,N2,i3087,n,NcB
rogo,rogo,rogus/-um,N2,r0782,1,NcB
rogo,rogo,rogo,V1,r1472,,VmF
Restituta,restituta,restituo,V3,r1365,,VmH
vale,uale,ualeo,V2,u0050,,VmG
Russa,russa,russus,N2/1,r0934,*,Af-
quis,quis,quis,PR,q0198,,P4-
quis,quis,qui,PR,q9410,,P7-
quis,quis,queo,VA,q0178,,VmN
Nero,nero,neo,V2,n0211,,VmG
non,non,non,I,n9508,,X--
Mentula,mentula,mentula,N1,m0764,f,NcA
fellat,fellat,fello,V1,f0339,,VmF
Mula,mula,mula,N1,m1479,f,NcA
Fortunata,fortunata,fortuno,V1,f0898,,VmF
assibus,assibus,as/assis,N3B,a3009,m,NcC
assibus,assibus,axis,N3B,a3654,m,NcC
aeris,aeris,aer,N3B,a0965,2,NcC
aeris,aeris,aera,N1,a0966,f,NcA
aeris,aeris,aera,N1,a2283,f,NcA
aeris,aeris,aerius,N2/1,a0981,*,Af-
aeris,aeris,aerus,N2,a1001,m,NcB
aeris,aeris,aes,N3B,a1004,n,NcC
Rusticus,rusticus,rusticus,N2/1,r0943,*,Af-
et,et,et,I,e0997,,X--
pupa,pupa,pupa,N1,p2331,f,NcA
multis,multis,multa,N1,m1613,f,NcA
multis,multis,multus,N2/1,m1695,*,Af-
multis,multis,multum,N2,m1696,n,NcB
Proculum,proculum,proculus,N2/1,p3689,*,Af-
cunctorum,cunctorum,cunctus,N2/1,c4623,*,Au-
Hoc,hoc,hic,PR,h0360,,Py-
ingenuus,ingenuus,ingenuus/-os,N2/1,i1691,*,Af-
pudor,pudor,pudor,N3B,p4385,m,NcC
postulat,postulat,postulo,V1,p2751,,VmF
feliciter,feliciter,felicito,V1,f0323,,VmF
feliciter,feliciter,felix,N3A,f0327,*,Af-
viginti,uiginti,uiginti,N,u0645,,AnP
Sabine,sabine,sabus,N2,s0019,m,NcB
amat,amat,amo,V1,a1705,,VmF
Primigenius,primigenius,primigenius,N2/1,p3539,*,Af-
Primigenius,primigenius,primigenus,N2/1,p3540,*,Af-
Primigenius,primigenius,primigenius,N2/1,p3539,*,Af-
Castor,castor,castor,N3B,c0783,m,NcC
cum,cum,cum,I,c4579,,X--
cum,cum,cum,I,c4584,,X--
vitae,uitae,uita,N1,u0835,f,NcA
Anus,anus,annus,N2,a2077,m,NcB
Anus,anus,a"nus,N2,a2292,m,NcB
Anus,anus,anus,N4,a2293,f,NcD
scio,scio,scio,V4,s0654,,VmL
scio,scio,scius,N2/1,s0684,*,Af-
meminit,meminit,memini,VP,m0693,,VmN
mortis,mortis,mors,N3B,m1420,f,NcC
Lucius,lucius,lucius,N2,l1100,m,NcB
Servilius,seruilius,seruilis,N3A,s1418,*,Af-
Marcus,marcus,marcus,N2,m0377,m,NcB
